Date,GBP/CHF Close,GBP/CHF High,GBP/CHF Low
2006-12-08,2.3528,2.3573,2.3418
2006-12-11,2.3533,2.3563,2.3496
2006-12-12,2.3645,2.3655,2.3535
2006-12-13,2.3723,2.3737,2.3624
2006-12-14,2.3803,2.3826,2.3694
2006-12-15,2.3838,2.3902,2.3804
2006-12-18,2.381,2.3978,2.3796
2006-12-19,2.3903,2.3943,2.3796
2006-12-20,2.3919,2.3952,2.3896
2006-12-21,2.3864,2.3935,2.3855
2006-12-22,2.3912,2.3912,2.3835
2006-12-25,2.39,2.39,2.39
2006-12-26,2.3894,2.3922,2.3854
2006-12-27,2.3977,2.3989,2.387
2006-12-28,2.3986,2.4014,2.3915
2006-12-29,2.387,2.4001,2.3869
2007-01-01,2.3986,2.3986,2.3986
2007-01-02,2.3926,2.3942,2.3861
2007-01-03,2.3904,2.3999,2.3851
2007-01-04,2.3975,2.3975,2.3876
2007-01-05,2.3848,2.3968,2.3822
2007-01-08,2.3964,2.3964,2.3836
2007-01-09,2.4088,2.4106,2.3961
2007-01-10,2.4092,2.4131,2.4051
2007-01-11,2.43,2.4312,2.4062
2007-01-12,2.4435,2.4446,2.428
2007-01-15,2.4511,2.4532,2.4428
2007-01-16,2.4481,2.4532,2.4418
2007-01-17,2.4572,2.4612,2.4472
2007-01-18,2.4631,2.4693,2.4543
2007-01-19,2.4625,2.469,2.4588
2007-01-22,2.468,2.4728,2.4635
2007-01-23,2.461,2.4758,2.4602
2007-01-24,2.457,2.4651,2.4522
2007-01-25,2.4526,2.4578,2.449
2007-01-26,2.4555,2.4622,2.4518
2007-01-29,2.4555,2.4595,2.4536
2007-01-30,2.4561,2.4666,2.4555
2007-01-31,2.443,2.4618,2.4393
2007-02-01,2.4458,2.4498,2.4409
2007-02-02,2.4539,2.4561,2.4435
2007-02-05,2.4471,2.4553,2.4428
2007-02-06,2.4437,2.4513,2.4419
